Data,Tweet
2018-07-20 17:56:09,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 17:55:59,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 17:55:38,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 17:45:25,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 17:34:53,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 17:29:45,RT @MaisVoce_Globo: Um brinde para #JogoDePanelas #MaisVocê 
2018-07-20 17:20:45,RT @SiteCTV: Qual a melhor atração matutina da Globo?  RT= #MaisVocê Fav= #Encontro 
2018-07-20 17:09:56,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 17:06:40,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 17:05:31,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 17:00:43,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 16:56:02,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 16:53:42,"RT @fabiogaj: Começou a nova temporada do Jogo de Panelas no #MaisVocê, e dessa vez vai ser com pessoas de Salvador.  Dos 5 participantes,…"
2018-07-20 16:53:02,RT @TVGloboInter: Pensamento poderoso do dia!  #MaisVocê 
2018-07-20 16:50:09,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 16:47:47,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 16:43:22,RT @Ludaragao1: Salvador bem representada! Já simpatizei com esse Tiago  #jogodepanelas #MaisVoce
2018-07-20 16:41:57,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 16:41:49,RT @MaisVoce_Globo: Quem já tá ansioso para a disputa?! #MaisVocê #Jogodepanelas 
2018-07-20 16:41:10,RT @MaisVoce_Globo: O Tiago tb tá no #JogoDePanelas! #MaisVocê 
2018-07-20 16:39:22,RT @SiteCTV: Qual a melhor atração matutina da Globo?  RT= #MaisVocê Fav= #Encontro 
